GENE	DRUG	PHENOTYPE	RECOMMENDATION	ACTION_CATEGORY	EVIDENCE_LEVEL	CPIC_STRENGTH	CPIC_GUIDELINE_URL	PMID	NOTES
CYP2C19	Voriconazole	Intermediate Metabolizer	Initiate standard voriconazole dose. Therapeutic drug monitoring (TDM) is recommended — higher target trough concentrations (2-5.5 mg/L) are typical in this group.	use_with_caution	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Voriconazole	Poor Metabolizer	Avoid voriconazole if clinically feasible. Poor metabolizers have 4-fold higher AUC than Normal Metabolizers; high risk of neurotoxicity and hepatotoxicity. If unavoidable, initiate at 50% standard dose with intensive TDM (target trough 1-5.5 mg/L) and liver function monitoring.	contraindicated	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C9	Warfarin	Normal Metabolizer	Standard warfarin dosing per prescribing information. Initiate per clinical algorithm (e.g., Warfarin Dosing Service or Gage algorithm). Standard INR monitoring schedule.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	
CYP2C9	Warfarin	Intermediate Metabolizer	Reduce initial warfarin dose by 25%. Increased warfarin sensitivity — time to stable INR is prolonged. Increase INR monitoring frequency for first 4 weeks. Target INR remains 2.0-3.0 for most indications.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	
CYP2C9	Warfarin	Poor Metabolizer	Reduce initial warfarin dose by 50% or more. Severely impaired warfarin clearance — bleeding risk is substantially elevated. Weekly INR monitoring required for a minimum of 4 weeks. Consider bridging anticoagulation and haematology/pharmacy consultation.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	
CYP2C9	Ibuprofen	Normal Metabolizer	Standard ibuprofen dosing per prescribing information. No pharmacogenomic action required.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	
CYP2C9	Ibuprofen	Intermediate Metabolizer	Use ibuprofen with caution; initiate at lowest effective dose and shortest duration. Moderately reduced clearance leads to elevated plasma exposure; GI and renal toxicity risk is modestly increased.	use_with_caution	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	
CYP2C9	Ibuprofen	Poor Metabolizer	Initiate at lowest effective dose with shortest duration possible. Significantly reduced clearance — NSAID-related GI bleeding, renal impairment, and cardiovascular events are elevated risks. Consider alternative analgesic (paracetamol, topical NSAID) where feasible.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-warfarin-and-cyp2c9-and-vkorc1-and-cyp4f2/	21900891,28198005	
CYP2D6	Codeine	Ultrarapid Metabolizer	Avoid codeine — risk of life-threatening opioid toxicity. Ultra-rapid conversion to morphine produces plasma morphine concentrations 50% higher than Normal Metabolizers. Fatalities reported, especially in children, breastfed infants, and post-tonsillectomy patients. Use alternative analgesic (e.g., non-opioid, or morphine/oxycodone at standard doses).	contraindicated	A	Strong	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2D6	Codeine	Normal Metabolizer	Standard codeine dosing per prescribing information.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2D6	Codeine	Intermediate Metabolizer	Use codeine with caution; reduced analgesia is expected due to lower morphine production. If pain control is inadequate, consider alternative analgesic rather than increasing codeine dose.	use_with_caution	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2D6	Codeine	Poor Metabolizer	Avoid codeine — ineffective analgesia. Negligible conversion to the active morphine metabolite. No therapeutic benefit; use alternative analgesic (non-opioid preferred, or alternative opioid such as morphine or oxycodone).	choose_alternative	A	Strong	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2D6	Amitriptyline	Ultrarapid Metabolizer	Avoid amitriptyline or use substantially higher dose with therapeutic drug monitoring (TDM). Standard doses likely to produce subtherapeutic plasma levels; poor antidepressant response expected. If TCA is required, choose nortriptyline or imipramine with close monitoring.	choose_alternative	A	Strong	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2D6	Amitriptyline	Normal Metabolizer	Standard amitriptyline dosing per prescribing information. TDM at steady state is advisable for all TCAs.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2D6	Amitriptyline	Intermediate Metabolizer	Initiate amitriptyline at 25% lower dose and titrate according to clinical response and TDM. Moderately increased drug exposure — monitor for anticholinergic and cardiac adverse effects.	adjust_dose	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2D6	Amitriptyline	Poor Metabolizer	Avoid amitriptyline — 2-fold increase in exposure at standard doses; high risk of anticholinergic toxicity (QTc prolongation, urinary retention, confusion) and serotonergic adverse effects. If TCA is required, use nortriptyline or desipramine at 50% starting dose with TDM.	choose_alternative	A	Strong	https://cpicpgx.org/guidelines/guideline-for-codeine-and-cyp2d6/	22205192,26900641,29152729	
CYP2B6	Efavirenz	Normal Metabolizer	Standard efavirenz 600 mg/day per WHO and prescribing information. No pharmacogenomic dose adjustment required.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	
CYP2B6	Efavirenz	Intermediate Metabolizer	Standard efavirenz 600 mg/day. Monitor for CNS adverse effects (vivid dreams, dizziness, depression) which are more common in this group. TDM recommended if adverse effects arise.	use_with_caution	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	
CYP2B6	Efavirenz	Poor Metabolizer	Reduce efavirenz to 400 mg/day (from standard 600 mg/day). Poor metabolizers have markedly elevated efavirenz plasma levels — increased CNS toxicity (severe neuropsychiatric effects, suicidality) and treatment discontinuation rates. Consult HIV pharmacist; 400 mg/day has demonstrated non-inferior virological efficacy in ENCORE1 trial (PMID:24411081).	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	
CYP2B6	Methadone	Normal Metabolizer	Standard methadone initiation per prescribing information. Low starting dose with gradual titration; close monitoring for the first 2 weeks.	use_as_normal	B	Moderate	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	
CYP2B6	Methadone	Intermediate Metabolizer	Standard methadone initiation with careful monitoring. Slightly elevated methadone exposure — monitor ECG (QTc) and respiratory rate during titration.	use_with_caution	B	Moderate	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	
CYP2B6	Methadone	Poor Metabolizer	Initiate methadone at lowest possible dose with very slow titration (no more than 5 mg increases every 7 days). Reduced clearance increases accumulation risk — respiratory depression and QTc prolongation are elevated risks. Consider alternative opioid agonist therapy (e.g., buprenorphine) if available.	adjust_dose	B	Moderate	https://cpicpgx.org/guidelines/guideline-for-efavirenz-and-cyp2b6/	22897454,29385237	
SLCO1B1	Simvastatin	Normal Function	Standard simvastatin dosing per prescribing information. No dose adjustment for pharmacogenomic reasons.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	
SLCO1B1	Simvastatin	Decreased Function	Use simvastatin ≤20 mg/day or switch to an alternative statin with lower SLCO1B1 sensitivity: pravastatin (40-80 mg/day), rosuvastatin (10-20 mg/day), or fluvastatin XL (80 mg/day). Risk of simvastatin-induced myopathy is 2-4 fold elevated. If higher-intensity statin therapy is needed, rosuvastatin is preferred.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	
SLCO1B1	Simvastatin	Poor Function	Avoid simvastatin entirely. Risk of severe myopathy/rhabdomyolysis is ~17-fold elevated vs normal function. Use pravastatin, rosuvastatin, or fluvastatin — these have minimal SLCO1B1 dependence. Atorvastatin is intermediate risk and may be used with caution at lower doses.	contraindicated	A	Strong	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	
SLCO1B1	Atorvastatin	Normal Function	Standard atorvastatin dosing per prescribing information.	use_as_normal	B	Moderate	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	
SLCO1B1	Atorvastatin	Decreased Function	Standard atorvastatin dosing is acceptable; myopathy risk is modestly elevated compared to simvastatin. Avoid doses >40 mg/day if possible. Monitor for muscle symptoms (myalgia, elevated CK).	use_with_caution	B	Moderate	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	
SLCO1B1	Atorvastatin	Poor Function	Use atorvastatin with caution at lowest effective dose (≤20 mg/day); monitor CK and muscle symptoms. If higher-intensity LDL lowering is required, consider rosuvastatin or pravastatin as lower-risk alternatives.	use_with_caution	B	Moderate	https://cpicpgx.org/guidelines/guideline-for-simvastatin-and-slco1b1/	22617227,24918167	
TPMT	Azathioprine	Normal Metabolizer	Standard azathioprine dosing per prescribing information (typically 1.5-2.5 mg/kg/day for autoimmune conditions). Routine CBC monitoring per standard protocol.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	
TPMT	Azathioprine	Intermediate Metabolizer	Reduce azathioprine starting dose to 30-70% of standard dose. Allow 2-4 weeks between dose adjustments. Increase CBC monitoring frequency (every 2 weeks for first 2 months). Full therapeutic effect is achievable at reduced doses.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	
TPMT	Azathioprine	Poor Metabolizer	Avoid azathioprine — risk of severe, potentially fatal thiopurine toxicity (myelosuppression, neutropenia, infections). Use alternative non-thiopurine immunosuppressant (e.g., mycophenolate mofetil, methotrexate, cyclosporine depending on indication). If thiopurine is absolutely required, use 10% of standard dose with very frequent CBC monitoring under specialist supervision.	contraindicated	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	
TPMT	6-Mercaptopurine	Normal Metabolizer	Standard 6-mercaptopurine dosing per prescribing information. Routine haematological monitoring per oncology/gastroenterology protocol.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	
TPMT	6-Mercaptopurine	Intermediate Metabolizer	Reduce starting 6-MP dose to 30-70% of standard dose. Start at 50% and titrate based on haematological response and tolerability. CBC monitoring every 2 weeks for first 2 months.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	
TPMT	6-Mercaptopurine	Poor Metabolizer	Reduce starting 6-MP dose to 10% of standard dose. Begin at 10% and titrate slowly. Weekly CBC monitoring for the first 8 weeks minimum. Consider haematology/clinical pharmacology consultation.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	21270794,23422873	
NUDT15	6-Mercaptopurine	Normal Metabolizer	Standard 6-mercaptopurine dosing per prescribing information.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	
NUDT15	6-Mercaptopurine	Intermediate Metabolizer	Reduce starting 6-MP dose by 30-50%. Increase frequency of CBC monitoring. Titrate dose based on tolerability and haematological response.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	
NUDT15	6-Mercaptopurine	Poor Metabolizer	Reduce starting 6-MP dose to 10% of standard dose. Risk of severe myelosuppression is very high — especially critical in paediatric ALL patients. Weekly CBC monitoring. Consider haematology consultation before initiation.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	
NUDT15	Azathioprine	Normal Metabolizer	Standard azathioprine dosing per prescribing information.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	
NUDT15	Azathioprine	Intermediate Metabolizer	Reduce azathioprine starting dose by 30-50%. Monitor CBC closely every 2 weeks for first 2 months.	adjust_dose	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	
NUDT15	Azathioprine	Poor Metabolizer	Reduce azathioprine starting dose to 10% of standard dose or use alternative immunosuppressant. Very high myelosuppression risk. Frequent CBC monitoring mandatory.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-thiopurines-and-tpmt-and-nudt15/	26319548,30372660	
